Index,Type
532,11
533,1
534,10
535,9
536,11
537,6
538,11
539,16
540,13
541,0
542,2
543,0
544,8
545,9
546,0
547,0
548,1
549,14
550,12
551,9
552,9
553,14
554,14
555,16
556,14
557,9
558,9
559,12
560,1
561,1
562,3
563,4
564,6
565,6
566,7
567,7
568,0
569,12
570,12
571,11
572,11
573,14
574,17
575,16
576,16
577,17
578,17
579,17
580,11
581,17
582,12
583,17
584,17
585,17
586,0
587,17
588,8
589,0
590,0
591,5
592,10
593,13
594,10
595,9
596,11
597,17
598,12
599,3
600,6
601,17
602,12
603,0
604,12
605,17
606,0
607,0
608,17
609,12
610,0
611,6
612,1
613,2
614,4
615,4
616,4
617,17
618,10
619,4
620,2
621,16
622,0
623,0
624,1
625,1
626,2
627,2
628,3
629,3
630,4
631,4
632,5
633,5
634,6
635,6
636,7
637,7
638,8
639,8
640,9
641,9
642,10
643,10
644,11
645,11
646,12
647,12
648,13
649,13
650,14
651,14
652,15
653,15
654,16
655,16
656,17
657,17
658,12
659,4
660,6
661,3
662,7
663,16
664,10
665,14
666,17
667,4
668,11
669,11
670,11
671,0
672,3
673,0
674,8
675,16
676,6
677,8
678,13
679,6
680,9
681,16
682,9
683,13
684,8
685,3
686,0
687,15
688,11
689,13
690,2
691,15
692,15
693,16
694,14
695,7
696,16
697,10
698,17
699,7
700,12
701,0
702,0
703,13
704,9
705,17
706,13
707,4
708,7
709,5
710,10
711,13
712,7
713,8
714,7
715,0
716,12
717,17
718,0
719,12
720,9
721,12
722,13
723,13
724,8
725,7
726,17
727,5
728,15
729,12
730,10
731,2
732,12
733,10
734,12
735,9
736,13
737,16
738,11
739,14
740,17
741,0
742,8
743,0
744,15
745,10
746,16
747,0
748,1
749,5
750,13
751,15
752,0
753,1
754,12
755,10
756,0
757,9
758,6
759,12
760,0
761,1
762,7
763,14
764,3
765,10
766,2
767,17
768,15
769,13
770,5
771,4
772,16
773,11
774,8
775,15
776,1
777,17
778,11
779,11
780,9
781,8
782,8
783,12
784,15
785,11
786,12
787,11
788,11
789,17
790,17
791,10
792,16
793,16
794,1
795,15
796,8
797,13
798,8
799,15
800,5
801,3
802,17
803,11
804,12
805,0
806,6
807,9
808,16
809,7
810,3
811,1
812,10
813,14
814,2
815,4
816,11
817,16
818,10
819,12
820,15
821,13
822,16
823,1
824,14
825,7
826,13
827,3
828,13
829,0
830,5
831,17
832,13
833,9
834,10
835,11
836,14
837,1
838,4
839,3
840,13
841,7
842,8
843,1
844,7
845,16
846,2
847,12
848,4
849,13
850,13
